userName,score,at,content
yulianus yobee yuli,5,11/5/2022 9:37,aku ingin mau jadi pelajari
AnqueciaClotata Carvalho,4,11/5/2022 4:11,Maaf saya kurangi bintangnya karena sedikit kecewa 🥺
Lamini Lamini,5,11/4/2022 20:59,Tak kei nilai 5 bintang langsung ya
Reinaldo de Almeida Godinho,5,11/3/2022 14:35,Jaringan terburuk.. tolong perbaiki
Moskow 2k4,5,11/3/2022 4:53,"Bagus sekali,tpi tik tok gw nggak pernah fyp🥺😟"
Hady Rasta kerta,5,11/2/2022 16:54,aplikasinya baik cuma perangkat saya yang kurang baik
Fahmi Fahmi,5,11/2/2022 14:46,Wah aplikasi nya seru bangt😍😍😍
Aminah,5,11/2/2022 11:57,Sungguh sangat sangat puas kami dengan tiktok makasih tiktok 🥰💞💝💝
Yuliana Dea,4,11/1/2022 14:59,"Kenapa sekarang sering minta hapus instal. Dan kalu bikin video sering kakau Dan harus mulai dari awal lagi,tolong dong pihak tiktok untuk Di perbaiki"
DWI PURWANINGSIH,5,11/1/2022 9:13,Sangat menghibur 🦋
Bali traveling chanel,5,11/1/2022 7:36,ok sie.walaupun belum gacor
Zubaidah Mohamed,5,10/31/2022 4:56,Sangat menarik
Ason Santos,5,10/31/2022 3:24,Sangat cocok untuk Anda
Amih Abang,5,10/30/2022 19:11,Lebih dapat banyan teman
Irham Bin zainudin,5,10/30/2022 16:23,Sangat bagus dan mantol
Neeha Ali,5,10/29/2022 12:50,Saya kasi 5 bintang tapi tolong dong file nya di perkecil jadi gak merusak ke app lain nya
Zelita Jordao,5,10/29/2022 11:33,Bagus banget saya suka
syakilla,3,10/29/2022 2:51,"kenapa sekarang tiktok jadi ngelag banget yah? padahal sebelum di update fine² aja tuh ga ngelag dan lancar jaya, apalagi pas mau bikin vid tiba² keluar dari apk nya. tolong dong di perbaiki lagi"
Lamar Loaverz Noze,5,10/28/2022 21:48,Ternyata lebih seru dan asik di tiktok
Putry Caesa,5,10/28/2022 20:43,sangt membantu trimksh
Zezinho Oscar Correia Pinto,5,10/28/2022 12:57,App nya bagus sekali
Sholeh Muharam,5,10/27/2022 14:27,Sangat bagus skrg ngedit video lebih mudah dgn capcut🙏
Kumprung musik Channel,5,10/27/2022 10:06,Sangat merasa terhibur dengan ada nya aplikasi Tiktok ini.👍💖
Ryouga,1,10/27/2022 4:47,Aplikasi bnyk laki² tolol joget² gkjls
¿,1,10/27/2022 4:20,Rusak kemarin fyp ku udah bagus sekarang malah orang alay dan gak jelas vidio nya yang masuk ke fyp aku kalo besok lagi ke gini mending unistal aja udah klik tidak tetarik malah makin banyak vd ke gitu
jejak saya 88,5,10/26/2022 13:45,Bagus ketimbang dengan yang laen
Sidik Permana6969,5,10/26/2022 12:32,Tidak mendapat coin
Shila Novita,5,10/23/2022 18:04,Saya mau aplikasi tiktok terbaru
ADEKONLINEADEL,5,10/23/2022 17:18,Akun ku diban gak ada salah apa apa diban emang tiktok mendingnkasih bintang 1 trus uninstal
Agung Sugiarta,5,10/23/2022 6:31,Ya Biasa Aja
fitri yani,1,10/22/2022 15:34,satu jh dl klw bagus banget baru lanjut bintang
Sony Bandung,5,10/22/2022 6:47,"Aplikasi Tiktok ini bgs, tapi syg waktu live tmn tdk bisa lht org yg live hanya bisa komentar ja yg bisa di lht.."
Def Rianto,5,10/21/2022 7:33,Bagusss dan baik tu lucuan .
Tri Yudha,1,10/21/2022 6:16,Tolong banget tiktok saya kok tidak bisa dapat skin epic gusion padahal poin saya sudah di potng 12000 dan saya nggak dapet apa apa?
Mahyuni Nya,5,10/20/2022 23:16,"Saya suka,,, kerana sengat bagus untuk menghibur diri,, di saat saya di Landa sepi,,,,,"
Nazilatul Nikmah,5,10/20/2022 18:34,Bagus bangett bisa bikin video yang kita mau Terima kasih 😊🙏
Maya Sofa,5,10/19/2022 21:14,"Suka banget sama aplikasi ini, bisa buat semangat kerja, karna happy"
Rosita Putri,5,10/18/2022 13:21,Suka karna bisa banyak teman dgn tiktok
Ayo Roheni,5,10/17/2022 13:39,Trimakasi tiktok .aplikasi nya sangat bagus ☺
Abay Bay55,5,10/16/2022 23:14,Tiktok bagus menghibur
Anwar Bae,4,10/16/2022 2:42,"4 dlu, baru download, tapi yakin pasti puas"
Aura official,1,10/16/2022 1:41,Knp sy ksih bintang 1 karena sy sudh update tpi g bis sy udh ksih bersih perangkat hp tolong tiktok jangan ky bgitu lain kali
ira wati,5,10/15/2022 11:05,"Sangat puas dan terhibur,terima kasi tiktok,,🥰🥰🙏🏻"
Yulianti Yusuf,3,10/15/2022 5:13,Kurang bagus aplikasinya sering macet
Rinduterlarang Plara,5,10/13/2022 20:43,Saya ksih bintang full
Carinih tadi,5,10/13/2022 11:52,Tiktok bagus saran saya supaya video nya bisa di download Tampa watermak
Sultan Cirebon,5,10/13/2022 4:07,Sangat menyenagkan bagi saya fyp min😅
Moh Fairus,5,10/13/2022 0:50,Bagus bnget pokoknya
Gabriel Bello,3,10/12/2022 16:37,Terus ada masalahnya saat mulai install aplikasi tersebut
Siti perjuwang rupiah,5,10/12/2022 13:02,Kasih bintang 5 biar puas
Wahyu Wahyu,5,10/12/2022 5:10,aplikasi yg bagus banyak di sukai orang-orang
Abba Abbu,1,10/12/2022 2:31,Tiap hari harus ada update an perbarui gangerti sama tikzok sekarang
